node_title,tensor_shape,shape size,Tensor size,Tensor storage size,input_dim,node_addr,CXL_RD,CXL_WR,Input layer size details
input_1,1x11,88,216,0,,input.idx,0,88,
embedding_1_1,1x11x384,16896,17040,16960,params: 65x384,token_embedding_table,88,16896, input_1(88)
arange_1_2,x11,88,200,152,,,0,88,
embedding_2_3,11x384,16896,17024,16960,params: 256x384,position_embedding_table,88,16896, arange_1_2(88)
add_1_4,1x11x384,16896,17040,16960,,,33792,16896, embedding_1_1(16896) embedding_2_3(16896)
layernorm_1_5,1x11x384,16896,17040,16960,"params: x384, x384",blocks.0.ln1,16896,16896, add_1_4(16896)
linear_1_6,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.0.key,16896,2112, layernorm_1_5(16896)
linear_2_7,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.0.query,16896,2112, layernorm_1_5(16896)
transpose_1_8,1x48x11,2112,2256,2176,,,2112,2112, linear_1_6(2112)
matmul_1_9,1x11x11,484,628,548,,,4224,484, linear_2_7(2112) transpose_1_8(2112)
mul_1_10,1x11x11,484,628,548,,,484,484, matmul_1_9(484)
getitem_1_11,11x11,484,612,262208,,,262144,484, buffer_1(262144)
eq_1_12,11x11,121,249,185,,,484,121, getitem_1_11(484)
maskedfill_1_13,1x11x11,484,628,548,,,605,484, mul_1_10(484) eq_1_12(121)
softmax_1_14,1x11x11,484,628,548,,,484,484, maskedfill_1_13(484)
dropout_1_15,1x11x11,484,628,548,,blocks.0.sa.heads.0.dropout,484,484, softmax_1_14(484)
linear_3_16,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.0.value,16896,2112, layernorm_1_5(16896)
matmul_2_17,1x11x48,2112,2256,2176,,blocks.0.sa.heads.0,2596,2112, dropout_1_15(484) linear_3_16(2112)
linear_4_18,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.1.key,16896,2112, layernorm_1_5(16896)
linear_5_19,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.1.query,16896,2112, layernorm_1_5(16896)
transpose_2_20,1x48x11,2112,2256,2176,,,2112,2112, linear_4_18(2112)
matmul_3_21,1x11x11,484,628,548,,,4224,484, linear_5_19(2112) transpose_2_20(2112)
mul_2_22,1x11x11,484,628,548,,,484,484, matmul_3_21(484)
getitem_2_23,11x11,484,612,262208,,,262144,484, buffer_2(262144)
eq_2_24,11x11,121,249,185,,,484,121, getitem_2_23(484)
maskedfill_2_25,1x11x11,484,628,548,,,605,484, mul_2_22(484) eq_2_24(121)
softmax_2_26,1x11x11,484,628,548,,,484,484, maskedfill_2_25(484)
dropout_2_27,1x11x11,484,628,548,,blocks.0.sa.heads.1.dropout,484,484, softmax_2_26(484)
linear_6_28,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.1.value,16896,2112, layernorm_1_5(16896)
matmul_4_29,1x11x48,2112,2256,2176,,blocks.0.sa.heads.1,2596,2112, dropout_2_27(484) linear_6_28(2112)
linear_7_30,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.2.key,16896,2112, layernorm_1_5(16896)
linear_8_31,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.2.query,16896,2112, layernorm_1_5(16896)
transpose_3_32,1x48x11,2112,2256,2176,,,2112,2112, linear_7_30(2112)
matmul_5_33,1x11x11,484,628,548,,,4224,484, linear_8_31(2112) transpose_3_32(2112)
mul_3_34,1x11x11,484,628,548,,,484,484, matmul_5_33(484)
getitem_3_35,11x11,484,612,262208,,,262144,484, buffer_3(262144)
eq_3_36,11x11,121,249,185,,,484,121, getitem_3_35(484)
maskedfill_3_37,1x11x11,484,628,548,,,605,484, mul_3_34(484) eq_3_36(121)
softmax_3_38,1x11x11,484,628,548,,,484,484, maskedfill_3_37(484)
dropout_3_39,1x11x11,484,628,548,,blocks.0.sa.heads.2.dropout,484,484, softmax_3_38(484)
linear_9_40,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.2.value,16896,2112, layernorm_1_5(16896)
matmul_6_41,1x11x48,2112,2256,2176,,blocks.0.sa.heads.2,2596,2112, dropout_3_39(484) linear_9_40(2112)
linear_10_42,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.3.key,16896,2112, layernorm_1_5(16896)
linear_11_43,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.3.query,16896,2112, layernorm_1_5(16896)
transpose_4_44,1x48x11,2112,2256,2176,,,2112,2112, linear_10_42(2112)
matmul_7_45,1x11x11,484,628,548,,,4224,484, linear_11_43(2112) transpose_4_44(2112)
mul_4_46,1x11x11,484,628,548,,,484,484, matmul_7_45(484)
getitem_4_47,11x11,484,612,262208,,,262144,484, buffer_4(262144)
eq_4_48,11x11,121,249,185,,,484,121, getitem_4_47(484)
maskedfill_4_49,1x11x11,484,628,548,,,605,484, mul_4_46(484) eq_4_48(121)
softmax_4_50,1x11x11,484,628,548,,,484,484, maskedfill_4_49(484)
dropout_4_51,1x11x11,484,628,548,,blocks.0.sa.heads.3.dropout,484,484, softmax_4_50(484)
linear_12_52,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.3.value,16896,2112, layernorm_1_5(16896)
matmul_8_53,1x11x48,2112,2256,2176,,blocks.0.sa.heads.3,2596,2112, dropout_4_51(484) linear_12_52(2112)
linear_13_54,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.4.key,16896,2112, layernorm_1_5(16896)
linear_14_55,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.4.query,16896,2112, layernorm_1_5(16896)
transpose_5_56,1x48x11,2112,2256,2176,,,2112,2112, linear_13_54(2112)
matmul_9_57,1x11x11,484,628,548,,,4224,484, linear_14_55(2112) transpose_5_56(2112)
mul_5_58,1x11x11,484,628,548,,,484,484, matmul_9_57(484)
getitem_5_59,11x11,484,612,262208,,,262144,484, buffer_5(262144)
eq_5_60,11x11,121,249,185,,,484,121, getitem_5_59(484)
maskedfill_5_61,1x11x11,484,628,548,,,605,484, mul_5_58(484) eq_5_60(121)
softmax_5_62,1x11x11,484,628,548,,,484,484, maskedfill_5_61(484)
dropout_5_63,1x11x11,484,628,548,,blocks.0.sa.heads.4.dropout,484,484, softmax_5_62(484)
linear_15_64,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.4.value,16896,2112, layernorm_1_5(16896)
matmul_10_65,1x11x48,2112,2256,2176,,blocks.0.sa.heads.4,2596,2112, dropout_5_63(484) linear_15_64(2112)
linear_16_66,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.5.key,16896,2112, layernorm_1_5(16896)
linear_17_67,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.5.query,16896,2112, layernorm_1_5(16896)
transpose_6_68,1x48x11,2112,2256,2176,,,2112,2112, linear_16_66(2112)
matmul_11_69,1x11x11,484,628,548,,,4224,484, linear_17_67(2112) transpose_6_68(2112)
mul_6_70,1x11x11,484,628,548,,,484,484, matmul_11_69(484)
getitem_6_71,11x11,484,612,262208,,,262144,484, buffer_6(262144)
eq_6_72,11x11,121,249,185,,,484,121, getitem_6_71(484)
maskedfill_6_73,1x11x11,484,628,548,,,605,484, mul_6_70(484) eq_6_72(121)
softmax_6_74,1x11x11,484,628,548,,,484,484, maskedfill_6_73(484)
dropout_6_75,1x11x11,484,628,548,,blocks.0.sa.heads.5.dropout,484,484, softmax_6_74(484)
linear_18_76,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.5.value,16896,2112, layernorm_1_5(16896)
matmul_12_77,1x11x48,2112,2256,2176,,blocks.0.sa.heads.5,2596,2112, dropout_6_75(484) linear_18_76(2112)
linear_19_78,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.6.key,16896,2112, layernorm_1_5(16896)
linear_20_79,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.6.query,16896,2112, layernorm_1_5(16896)
transpose_7_80,1x48x11,2112,2256,2176,,,2112,2112, linear_19_78(2112)
matmul_13_81,1x11x11,484,628,548,,,4224,484, linear_20_79(2112) transpose_7_80(2112)
mul_7_82,1x11x11,484,628,548,,,484,484, matmul_13_81(484)
getitem_7_83,11x11,484,612,262208,,,262144,484, buffer_7(262144)
eq_7_84,11x11,121,249,185,,,484,121, getitem_7_83(484)
maskedfill_7_85,1x11x11,484,628,548,,,605,484, mul_7_82(484) eq_7_84(121)
softmax_7_86,1x11x11,484,628,548,,,484,484, maskedfill_7_85(484)
dropout_7_87,1x11x11,484,628,548,,blocks.0.sa.heads.6.dropout,484,484, softmax_7_86(484)
linear_21_88,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.6.value,16896,2112, layernorm_1_5(16896)
matmul_14_89,1x11x48,2112,2256,2176,,blocks.0.sa.heads.6,2596,2112, dropout_7_87(484) linear_21_88(2112)
linear_22_90,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.7.key,16896,2112, layernorm_1_5(16896)
linear_23_91,1x11x48,2112,2256,2176,params: 48x384,blocks.0.sa.heads.7.query,16896,2112, layernorm_1_5(16896)
